"elemento_grafo";"ci";"cj";"ck";"cl";"cm";"mean_absolute_error"
"A1";0;0;0;0;0;0.238703
"A1";0;0;0;0;1;0.239311
"A1";0;0;0;0;2;0.241215
"A1";0;0;0;1;0;0.561956
"A1";0;0;0;1;1;0.562997
"A1";0;0;0;1;2;0.559158
"A1";0;0;0;2;0;1.09643
"A1";0;0;0;2;1;1.09942
"A1";0;0;0;2;2;1.10248
"A1";0;0;1;0;0;0.238142
"A1";0;0;1;0;1;0.230877
"A1";0;0;1;0;2;0.230938
"A1";0;0;1;1;0;0.559236
"A1";0;0;1;1;1;0.550253
"A1";0;0;1;1;2;0.553581
"A1";0;0;1;2;0;1.09252
"A1";0;0;1;2;1;1.09291
"A1";0;0;1;2;2;1.09789
"A1";0;0;2;0;0;0.241936
"A1";0;0;2;0;1;0.240106
"A1";0;0;2;0;2;0.237225
"A1";0;0;2;1;0;0.567882
"A1";0;0;2;1;1;0.562669
"A1";0;0;2;1;2;0.555779
"A1";0;0;2;2;0;1.07832
"A1";0;0;2;2;1;1.07975
"A1";0;0;2;2;2;1.08191
"A1";0;1;0;0;0;0.255604
"A1";0;1;0;0;1;0.249729
"A1";0;1;0;0;2;0.248562
"A1";0;1;0;1;0;0.58254
"A1";0;1;0;1;1;0.580121
"A1";0;1;0;1;2;0.577338
"A1";0;1;0;2;0;1.11735
"A1";0;1;0;2;1;1.10919
"A1";0;1;0;2;2;1.09234
"A1";0;1;1;0;0;0.255265
"A1";0;1;1;0;1;0.248871
"A1";0;1;1;0;2;0.252141
"A1";0;1;1;1;0;0.604982
"A1";0;1;1;1;1;0.596315
"A1";0;1;1;1;2;0.605928
"A1";0;1;1;2;0;1.17719
"A1";0;1;1;2;1;1.18032
"A1";0;1;1;2;2;1.17234
"A1";0;1;2;0;0;0.279514
"A1";0;1;2;0;1;0.285361
"A1";0;1;2;0;2;0.301575
"A1";0;1;2;1;0;0.608508
"A1";0;1;2;1;1;0.611822
"A1";0;1;2;1;2;0.618541
"A1";0;1;2;2;0;1.15421
"A1";0;1;2;2;1;1.15755
"A1";0;1;2;2;2;1.17061
"A1";0;2;0;0;0;0.245665
"A1";0;2;0;0;1;0.248684
"A1";0;2;0;0;2;0.247446
"A1";0;2;0;1;0;0.586947
"A1";0;2;0;1;1;0.577805
"A1";0;2;0;1;2;0.581153
"A1";0;2;0;2;0;1.10619
"A1";0;2;0;2;1;1.12282
"A1";0;2;0;2;2;1.14102
"A1";0;2;1;0;0;0.280482
"A1";0;2;1;0;1;0.294765
"A1";0;2;1;0;2;0.304872
"A1";0;2;1;1;0;0.607325
"A1";0;2;1;1;1;0.621466
"A1";0;2;1;1;2;0.633871
"A1";0;2;1;2;0;1.13433
"A1";0;2;1;2;1;1.15505
"A1";0;2;1;2;2;1.21075
"A1";0;2;2;0;0;0.280315
"A1";0;2;2;0;1;0.277998
"A1";0;2;2;0;2;0.290736
"A1";0;2;2;1;0;0.621458
"A1";0;2;2;1;1;0.627787
"A1";0;2;2;1;2;0.650177
"A1";0;2;2;2;0;1.13063
"A1";0;2;2;2;1;1.11582
"A1";0;2;2;2;2;1.13947
"A1";1;0;0;0;0;0.46632
"A1";1;0;0;0;1;0.467999
"A1";1;0;0;0;2;0.573441
"A1";1;0;0;1;0;0.744275
"A1";1;0;0;1;1;0.760269
"A1";1;0;0;1;2;0.845131
"A1";1;0;0;2;0;1.32661
"A1";1;0;0;2;1;1.3517
"A1";1;0;0;2;2;1.45604
"A1";1;0;1;0;0;0.993187
"A1";1;0;1;0;1;0.991363
"A1";1;0;1;0;2;1.05924
"A1";1;0;1;1;0;0.967672
"A1";1;0;1;1;1;0.996461
"A1";1;0;1;1;2;1.06799
"A1";1;0;1;2;0;1.64254
"A1";1;0;1;2;1;1.66961
"A1";1;0;1;2;2;1.93483
"A1";1;0;2;0;0;0.697331
"A1";1;0;2;0;1;0.70146
"A1";1;0;2;0;2;0.956245
"A1";1;0;2;1;0;0.968689
"A1";1;0;2;1;1;0.958532
"A1";1;0;2;1;2;1.0441
"A1";1;0;2;2;0;1.51091
"A1";1;0;2;2;1;1.52831
"A1";1;0;2;2;2;1.58296
"A1";1;1;0;0;0;0.60406
"A1";1;1;0;0;1;0.600053
"A1";1;1;0;0;2;0.629688
"A1";1;1;0;1;0;1.06341
"A1";1;1;0;1;1;1.08485
"A1";1;1;0;1;2;1.09704
"A1";1;1;0;2;0;1.46637
"A1";1;1;0;2;1;1.47388
"A1";1;1;0;2;2;1.53804
"A1";1;1;1;0;0;0.809138
"A1";1;1;1;0;1;0.876657
"A1";1;1;1;0;2;0.980752
"A1";1;1;1;1;0;1.20078
"A1";1;1;1;1;1;1.21188
"A1";1;1;1;1;2;1.2734
"A1";1;1;1;2;0;1.8471
"A1";1;1;1;2;1;1.85738
"A1";1;1;1;2;2;1.94342
"A1";1;1;2;0;0;1.12915
"A1";1;1;2;0;1;1.10567
"A1";1;1;2;0;2;1.15107
"A1";1;1;2;1;0;1.05528
"A1";1;1;2;1;1;1.08081
"A1";1;1;2;1;2;1.11149
"A1";1;1;2;2;0;1.66486
"A1";1;1;2;2;1;1.92181
"A1";1;1;2;2;2;2.17977
"A1";1;2;0;0;0;1.23331
"A1";1;2;0;0;1;1.23576
"A1";1;2;0;0;2;1.48091
"A1";1;2;0;1;0;1.21081
"A1";1;2;0;1;1;1.13218
"A1";1;2;0;1;2;1.13043
"A1";1;2;0;2;0;1.45582
"A1";1;2;0;2;1;1.44552
"A1";1;2;0;2;2;1.46419
"A1";1;2;1;0;0;1.54795
"A1";1;2;1;0;1;1.4277
"A1";1;2;1;0;2;1.45711
"A1";1;2;1;1;0;1.12778
"A1";1;2;1;1;1;1.12421
"A1";1;2;1;1;2;1.16033
"A1";1;2;1;2;0;4.30811
"A1";1;2;1;2;1;4.22108
"A1";1;2;1;2;2;4.33045
"A1";1;2;2;0;0;2.26385
"A1";1;2;2;0;1;2.17071
"A1";1;2;2;0;2;2.67363
"A1";1;2;2;1;0;1.82845
"A1";1;2;2;1;1;2.0809
"A1";1;2;2;1;2;2.51193
"A1";1;2;2;2;0;1.88661
